timestamps,TP9,AF7,AF8,TP10
1621565072.233,-43.945,-21.973,-20.020,-39.062
1621565072.237,-21.484,-22.949,-24.902,-9.277
1621565072.241,-18.555,-25.391,-25.879,-11.719
1621565072.245,-44.922,-21.973,-25.879,-35.156
1621565072.249,-51.270,-18.555,-24.902,-42.969
1621565072.253,-29.297,-19.531,-25.879,-25.391
1621565072.257,-7.324,-20.020,-23.926,-11.230
1621565072.261,-38.086,-22.461,-21.973,-45.410
1621565072.265,-56.152,-26.855,-23.438,-57.129
1621565072.269,-38.574,-23.438,-20.996,-29.785
1621565072.273,5.371,-17.090,-19.043,-5.859
1621565072.277,-3.418,-15.137,-24.414,-31.250
1621565072.281,-48.340,-20.508,-27.344,-60.547
1621565072.285,-48.828,-22.949,-28.809,-49.316
1621565072.288,-0.977,-22.949,-32.227,-12.207
1621565072.292,-12.695,-26.367,-35.645,-30.273
1621565072.296,-53.223,-25.391,-35.156,-55.664
1621565072.300,-38.574,-24.414,-31.250,-46.875
1621565072.304,-3.418,-24.414,-29.785,-20.996
1621565072.308,-3.906,-24.414,-25.391,-16.602
1621565072.312,-37.109,-23.926,-22.949,-48.340
1621565072.316,-35.156,-21.973,-25.391,-40.527
1621565072.320,-19.043,-24.414,-22.949,-9.277
1621565072.324,-6.836,-30.273,-24.902,-10.742
1621565072.328,-36.133,-33.203,-21.484,-44.922
1621565072.332,-48.340,-27.344,-16.602,-45.898
1621565072.336,-23.438,-21.973,-16.602,-15.137
1621565072.340,-6.348,-20.020,-21.973,6.348
1621565072.344,-16.113,-19.043,-23.926,-15.137
1621565072.348,-49.805,-19.043,-22.461,-41.016
1621565072.352,-44.434,-21.484,-25.879,-26.367
1621565072.356,-11.230,-24.414,-29.297,-10.254
1621565072.359,-15.137,-21.484,-28.320,-26.367
1621565072.363,-36.133,-19.043,-24.414,-46.875
1621565072.367,-38.574,-22.461,-24.902,-43.457
1621565072.371,-28.809,-22.461,-24.902,-29.297
1621565072.375,-20.020,-22.461,-26.367,-18.066
1621565072.379,-37.598,-24.414,-31.738,-37.598
1621565072.383,-50.293,-25.879,-30.762,-53.711
1621565072.387,-34.180,-23.926,-29.297,-32.715
1621565072.391,-8.301,-23.926,-29.785,-11.230
1621565072.395,-35.645,-23.926,-30.273,-50.781
1621565072.399,-63.965,-22.461,-32.227,-63.477
1621565072.403,-40.527,-26.855,-33.203,-36.133
1621565072.407,-8.789,-25.879,-34.668,-11.719
1621565072.411,-23.926,-17.578,-34.180,-22.461
1621565072.415,-50.293,-16.602,-28.809,-41.504
1621565072.419,-39.551,-26.855,-31.250,-33.691
1621565072.423,-8.301,-26.855,-31.250,-5.371
1621565072.427,-3.418,-27.344,-24.902,-4.395
1621565072.430,-31.738,-30.273,-25.879,-31.250
1621565072.434,-38.574,-26.855,-28.809,-33.691
1621565072.438,-14.648,-24.902,-27.832,-5.371
1621565072.442,9.766,-24.414,-23.926,15.625
1621565072.446,-32.715,-26.367,-24.902,-20.996
1621565072.450,-55.664,-24.902,-23.438,-39.551
1621565072.454,-35.645,-20.996,-25.879,-27.344
1621565072.458,-12.695,-21.484,-30.273,-5.371
1621565072.462,-31.738,-23.926,-27.832,-29.785
1621565072.466,-58.594,-24.902,-21.973,-48.828
1621565072.470,-41.992,-23.926,-23.438,-23.438
1621565072.474,-11.719,-23.926,-25.879,8.789
1621565072.478,-21.973,-22.949,-22.949,-14.648
1621565072.482,-55.664,-22.461,-22.949,-45.898
1621565072.486,-52.734,-23.926,-24.414,-36.621
1621565072.490,-12.207,-27.344,-26.855,-10.254
1621565072.494,-4.883,-24.414,-30.273,-3.418
1621565072.498,-39.551,-18.555,-28.809,-38.574
1621565072.501,-44.434,-19.531,-28.320,-50.781
1621565072.505,-23.438,-21.484,-30.762,-24.902
1621565072.509,-9.766,-22.461,-28.320,-6.836
1621565072.513,-32.227,-22.949,-23.926,-29.297
1621565072.517,-47.363,-21.484,-20.996,-41.016
1621565072.521,-26.367,-19.043,-22.949,-16.113
1621565072.525,8.789,-17.090,-25.391,7.324
1621565072.529,-10.254,-20.996,-27.344,-23.926
1621565072.533,-43.945,-23.926,-31.738,-38.086
1621565072.537,-36.133,-20.020,-30.762,-17.578
1621565072.541,0.488,-20.020,-27.344,9.766
1621565072.545,-9.766,-23.926,-30.273,-9.277
1621565072.549,-48.340,-24.902,-32.227,-43.945
1621565072.553,-38.574,-23.438,-29.785,-36.133
1621565072.557,-5.371,-26.855,-28.320,-7.324
1621565072.561,-9.277,-26.367,-27.344,-8.789
1621565072.565,-44.922,-23.438,-28.320,-41.016
1621565072.569,-57.129,-30.762,-28.320,-40.527
1621565072.572,-34.668,-31.738,-25.391,-10.742
1621565072.576,-8.301,-26.855,-22.949,2.441
1621565072.580,-38.086,-25.879,-24.902,-34.668
1621565072.584,-56.152,-21.973,-24.414,-39.551
1621565072.588,-42.969,-21.973,-27.344,-15.625
1621565072.592,-23.438,-22.461,-34.180,-8.301
1621565072.596,-39.062,-27.344,-30.273,-31.250
1621565072.600,-58.594,-30.273,-24.414,-48.828
1621565072.604,-43.457,-27.344,-25.391,-36.133
1621565072.608,-17.090,-22.461,-26.855,-11.719
1621565072.612,-18.555,-19.043,-22.461,-15.625
1621565072.616,-49.316,-23.438,-21.973,-36.133
1621565072.620,-49.805,-24.902,-27.832,-36.133
1621565072.624,-39.062,-27.344,-31.250,-13.672
1621565072.628,-9.277,-24.902,-31.250,-3.906
1621565072.632,-10.254,-18.066,-30.273,-29.297
1621565072.636,-41.992,-17.090,-26.855,-40.039
1621565072.640,-43.457,-22.949,-31.738,-39.551
1621565072.643,-28.809,-32.227,-34.180,-17.090
1621565072.647,-22.461,-29.785,-30.273,-15.137
1621565072.651,-41.504,-25.391,-26.367,-41.504
1621565072.655,-41.504,-27.832,-27.832,-41.016
1621565072.659,-19.043,-28.320,-35.156,-22.949
1621565072.663,-0.488,-25.391,-31.250,-16.113
1621565072.667,-22.461,-27.832,-27.832,-43.457
1621565072.671,-41.992,-28.809,-31.250,-53.711
1621565072.675,-32.227,-28.809,-29.785,-18.066
1621565072.679,-12.207,-30.762,-27.344,-3.418
1621565072.683,-29.785,-28.320,-28.320,-45.410
1621565072.687,-51.758,-25.391,-24.414,-52.734
1621565072.691,-37.598,-24.902,-25.391,-41.504
1621565072.695,-3.418,-24.414,-29.785,-11.719
1621565072.699,-4.395,-22.949,-31.738,-15.137
1621565072.703,-32.715,-24.902,-32.227,-45.898
1621565072.707,-38.086,-25.879,-29.297,-43.457
1621565072.711,-11.719,-26.367,-27.832,-13.184
1621565072.714,-1.953,-26.367,-27.344,-4.395
1621565072.718,-31.250,-24.414,-27.832,-33.203
1621565072.722,-45.410,-24.414,-25.391,-44.434
1621565072.726,-27.344,-26.855,-25.391,-14.160
1621565072.730,-8.301,-25.391,-23.926,-2.930
1621565072.734,-41.016,-24.414,-24.414,-37.109
1621565072.738,-54.688,-24.414,-26.855,-41.992
1621565072.742,-28.809,-25.391,-30.762,-23.438
1621565072.746,7.324,-25.391,-30.273,-2.930
1621565072.750,-9.766,-25.879,-26.855,-24.414
1621565072.754,-34.180,-22.461,-26.855,-43.457
1621565072.758,-23.926,-27.344,-28.320,-36.133
1621565072.762,7.324,-27.832,-30.273,-1.953
1621565072.766,-0.488,-22.461,-29.785,-5.859
1621565072.770,-41.016,-29.785,-31.250,-51.758
1621565072.774,-39.551,-29.785,-31.250,-55.664
1621565072.778,-14.160,-25.391,-28.320,-24.414
1621565072.782,-12.207,-28.320,-27.344,-21.484
1621565072.785,-43.945,-25.391,-31.250,-45.410
1621565072.789,-53.223,-25.391,-32.715,-47.363
1621565072.793,-37.109,-28.809,-31.250,-21.973
1621565072.797,-26.855,-26.367,-31.738,-4.395
1621565072.801,-42.969,-25.391,-31.250,-27.344
1621565072.805,-49.316,-25.391,-30.762,-39.062
1621565072.809,-49.316,-28.809,-28.809,-37.109
1621565072.813,-28.809,-25.391,-29.297,-20.996
1621565072.817,-31.738,-22.461,-28.809,-41.992
1621565072.821,-57.617,-29.785,-27.832,-60.059
1621565072.825,-42.480,-32.715,-31.738,-46.387
1621565072.829,-1.953,-31.738,-30.762,-20.508
1621565072.833,0.488,-27.344,-26.855,-23.926
1621565072.837,-39.062,-20.020,-29.297,-52.246
1621565072.841,-37.109,-20.020,-26.855,-55.664
1621565072.845,-1.953,-29.297,-26.855,-24.414
1621565072.849,9.766,-25.391,-27.344,-8.789
1621565072.853,-28.809,-20.996,-25.879,-38.086
1621565072.856,-56.641,-22.461,-25.879,-44.434
1621565072.860,-36.133,-22.461,-23.926,-17.578
1621565072.864,-12.207,-26.367,-24.902,-4.395
1621565072.868,-42.969,-27.832,-27.832,-41.992
1621565072.872,-65.430,-24.902,-28.320,-55.176
1621565072.876,-41.504,-22.461,-26.367,-34.668
1621565072.880,-15.625,-23.438,-24.902,-8.301
1621565072.884,-22.949,-25.879,-27.344,-21.973
1621565072.888,-50.293,-30.762,-29.297,-49.805
1621565072.892,-58.105,-31.250,-34.180,-50.293
1621565072.896,-20.508,-26.855,-32.227,-16.113
1621565072.900,-4.883,-24.414,-25.391,-5.859
1621565072.904,-44.922,-26.367,-30.762,-39.062
1621565072.908,-58.105,-26.855,-35.645,-48.340
1621565072.912,-26.855,-27.344,-33.691,-19.531
1621565072.916,-16.602,-34.180,-36.133,-10.254
1621565072.920,-50.781,-39.062,-37.598,-44.922
1621565072.924,-64.453,-37.109,-35.645,-55.664
1621565072.927,-43.945,-33.203,-34.180,-41.016
1621565072.931,-14.648,-33.203,-38.574,-24.902
1621565072.935,-25.391,-37.109,-37.109,-42.480
1621565072.939,-46.875,-33.203,-37.109,-56.641
1621565072.943,-33.203,-27.344,-39.551,-44.922
1621565072.947,-9.277,-28.320,-37.109,-24.902
1621565072.951,-20.508,-27.344,-36.621,-31.738
1621565072.955,-41.504,-24.414,-35.645,-51.270
1621565072.959,-38.574,-27.832,-29.297,-43.457
1621565072.963,-8.789,-28.320,-31.250,-15.625
1621565072.967,-14.160,-28.809,-34.668,-18.555
1621565072.971,-45.410,-28.809,-35.645,-49.805
1621565072.975,-57.617,-28.809,-41.992,-57.129
1621565072.979,-34.668,-31.738,-37.598,-24.414
1621565072.983,-9.277,-30.273,-36.133,-14.648
1621565072.987,-37.598,-29.297,-38.086,-49.316
1621565072.991,-50.781,-33.203,-34.180,-49.316
1621565072.995,-34.668,-37.109,-37.109,-24.414
1621565072.998,-19.531,-42.480,-41.016,-11.719
1621565073.002,-23.438,-43.457,-36.621,-28.320
1621565073.006,-39.062,-41.016,-27.832,-43.457
